datadot,x,y
"510.6665,79.998",510.6665,79.998
"510.6665,92.998",510.6665,92.998
"549.6665,105.998",549.6665,105.998
"497.6665,92.998",497.6665,92.998
"497.6665,105.998",497.6665,105.998
"484.6665,105.998",484.6665,105.998
"484.6665,118.998",484.6665,118.998
"497.6665,118.998",497.6665,118.998
"497.6665,131.998",497.6665,131.998
"510.6665,131.998",510.6665,131.998
"484.6665,131.998",484.6665,131.998
"484.6665,144.998",484.6665,144.998
"484.6665,157.998",484.6665,157.998
"484.6665,170.998",484.6665,170.998
"484.6665,183.998",484.6665,183.998
"484.6665,196.998",484.6665,196.998
"471.6665,196.998",471.6665,196.998
"484.6665,209.998",484.6665,209.998
"484.6665,222.998",484.6665,222.998
"484.6665,235.998",484.6665,235.998
"484.6665,248.998",484.6665,248.998
"484.6665,261.998",484.6665,261.998
"484.6665,274.998",484.6665,274.998
"497.6665,274.998",497.6665,274.998
"510.6665,274.998",510.6665,274.998
"523.6665,274.998",523.6665,274.998
"536.6665,274.998",536.6665,274.998
"549.6665,274.998",549.6665,274.998
"562.6665,274.998",562.6665,274.998
"575.6665,274.998",575.6665,274.998
"588.6665,274.998",588.6665,274.998
"588.6665,287.998",588.6665,287.998
"575.6665,287.998",575.6665,287.998
"562.6665,287.998",562.6665,287.998
"549.6665,287.998",549.6665,287.998
"536.6665,287.998",536.6665,287.998
"523.6665,287.998",523.6665,287.998
"510.6665,287.998",510.6665,287.998
"497.6665,287.998",497.6665,287.998
"484.6665,287.998",484.6665,287.998
"484.6665,300.998",484.6665,300.998
"471.6665,300.998",471.6665,300.998
"484.6665,313.998",484.6665,313.998
"471.6665,313.998",471.6665,313.998
"458.6665,313.998",458.6665,313.998
"458.6665,326.998",458.6665,326.998
"445.6665,326.998",445.6665,326.998
"445.6665,339.998",445.6665,339.998
"445.6665,352.998",445.6665,352.998
"432.6665,352.998",432.6665,352.998
"432.6665,365.998",432.6665,365.998
"445.6665,365.998",445.6665,365.998
"458.6665,365.998",458.6665,365.998
"458.6665,352.998",458.6665,352.998
"458.6665,339.998",458.6665,339.998
"471.6665,339.998",471.6665,339.998
"471.6665,326.998",471.6665,326.998
"484.6665,326.998",484.6665,326.998
"497.6665,326.998",497.6665,326.998
"497.6665,339.998",497.6665,339.998
"497.6665,352.998",497.6665,352.998
"497.6665,365.998",497.6665,365.998
"497.6665,378.998",497.6665,378.998
"497.6665,391.998",497.6665,391.998
"484.6665,391.998",484.6665,391.998
"484.6665,404.998",484.6665,404.998
"471.6665,404.998",471.6665,404.998
"458.6665,404.998",458.6665,404.998
"445.6665,404.998",445.6665,404.998
"445.6665,391.998",445.6665,391.998
"458.6665,391.998",458.6665,391.998
"471.6665,391.998",471.6665,391.998
"471.6665,378.998",471.6665,378.998
"484.6665,378.998",484.6665,378.998
"484.6665,365.998",484.6665,365.998
"471.6665,365.998",471.6665,365.998
"471.6665,352.998",471.6665,352.998
"484.6665,352.998",484.6665,352.998
"484.6665,339.998",484.6665,339.998
"458.6665,378.998",458.6665,378.998
"445.6665,378.998",445.6665,378.998
"432.6665,391.998",432.6665,391.998
"497.6665,313.998",497.6665,313.998
"497.6665,300.998",497.6665,300.998
"510.6665,300.998",510.6665,300.998
"523.6665,300.998",523.6665,300.998
"536.6665,300.998",536.6665,300.998
"549.6665,300.998",549.6665,300.998
"562.6665,300.998",562.6665,300.998
"575.6665,300.998",575.6665,300.998
"588.6665,300.998",588.6665,300.998
"601.6665,300.998",601.6665,300.998
"601.6665,313.998",601.6665,313.998
"601.6665,326.998",601.6665,326.998
"601.6665,339.998",601.6665,339.998
"601.6665,352.998",601.6665,352.998
"614.6665,352.998",614.6665,352.998
"614.6665,365.998",614.6665,365.998
"601.6665,365.998",601.6665,365.998
"588.6665,365.998",588.6665,365.998
"588.6665,378.998",588.6665,378.998
"575.6665,378.998",575.6665,378.998
"562.6665,378.998",562.6665,378.998
"562.6665,391.998",562.6665,391.998
"562.6665,404.998",562.6665,404.998
"549.6665,404.998",549.6665,404.998
"536.6665,404.998",536.6665,404.998
"523.6665,404.998",523.6665,404.998
"523.6665,417.998",523.6665,417.998
"510.6665,417.998",510.6665,417.998
"510.6665,430.998",510.6665,430.998
"497.6665,430.998",497.6665,430.998
"484.6665,430.998",484.6665,430.998
"471.6665,430.998",471.6665,430.998
"458.6665,430.998",458.6665,430.998
"445.6665,430.998",445.6665,430.998
"432.6665,430.998",432.6665,430.998
"419.6665,430.998",419.6665,430.998
"406.6665,443.998",406.6665,443.998
"406.6665,456.998",406.6665,456.998
"393.6665,456.998",393.6665,456.998
"380.6665,456.998",380.6665,456.998
"380.6665,469.998",380.6665,469.998
"367.6665,469.998",367.6665,469.998
"354.6665,469.998",354.6665,469.998
"341.6665,482.998",341.6665,482.998
"341.6665,469.998",341.6665,469.998
"328.6665,482.998",328.6665,482.998
"315.6665,482.998",315.6665,482.998
"315.6665,495.998",315.6665,495.998
"315.6665,508.998",315.6665,508.998
"328.6665,508.998",328.6665,508.998
"328.6665,521.998",328.6665,521.998
"328.6665,534.998",328.6665,534.998
"328.6665,547.998",328.6665,547.998
"315.6665,547.998",315.6665,547.998
"315.6665,534.998",315.6665,534.998
"315.6665,521.998",315.6665,521.998
"302.6665,521.998",302.6665,521.998
"302.6665,534.998",302.6665,534.998
"302.6665,547.998",302.6665,547.998
"289.6665,547.998",289.6665,547.998
"289.6665,560.998",289.6665,560.998
"302.6665,560.998",302.6665,560.998
"315.6665,560.998",315.6665,560.998
"328.6665,560.998",328.6665,560.998
"341.6665,560.998",341.6665,560.998
"354.6665,560.998",354.6665,560.998
"367.6665,560.998",367.6665,560.998
"380.6665,560.998",380.6665,560.998
"393.6665,560.998",393.6665,560.998
"406.6665,560.998",406.6665,560.998
"419.6665,560.998",419.6665,560.998
"432.6665,560.998",432.6665,560.998
"432.6665,573.998",432.6665,573.998
"432.6665,586.998",432.6665,586.998
"432.6665,599.998",432.6665,599.998
"445.6665,599.998",445.6665,599.998
"445.6665,612.998",445.6665,612.998
"445.6665,573.998",445.6665,573.998
"445.6665,586.998",445.6665,586.998
"458.6665,586.998",458.6665,586.998
"458.6665,599.998",458.6665,599.998
"458.6665,612.998",458.6665,612.998
"471.6665,599.998",471.6665,599.998
"471.6665,612.998",471.6665,612.998
"471.6665,625.998",471.6665,625.998
"484.6665,625.998",484.6665,625.998
"484.6665,638.998",484.6665,638.998
"484.6665,651.998",484.6665,651.998
"471.6665,651.998",471.6665,651.998
"471.6665,664.998",471.6665,664.998
"471.6665,677.998",471.6665,677.998
"471.6665,690.998",471.6665,690.998
"484.6665,690.998",484.6665,690.998
"484.6665,703.998",484.6665,703.998
"497.6665,703.998",497.6665,703.998
"510.6665,703.998",510.6665,703.998
"523.6665,703.998",523.6665,703.998
"523.6665,690.998",523.6665,690.998
"510.6665,690.998",510.6665,690.998
"497.6665,690.998",497.6665,690.998
"497.6665,677.998",497.6665,677.998
"484.6665,677.998",484.6665,677.998
"484.6665,664.998",484.6665,664.998
"497.6665,664.998",497.6665,664.998
"510.6665,664.998",510.6665,664.998
"510.6665,677.998",510.6665,677.998
"523.6665,677.998",523.6665,677.998
"536.6665,677.998",536.6665,677.998
"549.6665,677.998",549.6665,677.998
"562.6665,677.998",562.6665,677.998
"549.6665,651.998",549.6665,651.998
"562.6665,651.998",562.6665,651.998
"497.6665,716.998",497.6665,716.998
"497.6665,729.998",497.6665,729.998
"497.6665,742.998",497.6665,742.998
"510.6665,742.998",510.6665,742.998
"510.6665,729.998",510.6665,729.998
"510.6665,716.998",510.6665,716.998
"523.6665,716.998",523.6665,716.998
"536.6665,716.998",536.6665,716.998
"536.6665,703.998",536.6665,703.998
"536.6665,690.998",536.6665,690.998
"549.6665,690.998",549.6665,690.998
"536.6665,729.998",536.6665,729.998
"497.6665,755.998",497.6665,755.998
"471.6665,768.998",471.6665,768.998
